Stundenplan  WiSe 2014 Vers. 1.1.2 vom 08.10.2014
Semestergruppe  A-M


38
Name,Dozent,Raum,Tag,Anfang,Ende
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
A-M-MRP/02,WNC/[Zey],0601,Mi,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
A-M-ECP/01,MNR/[Huß],0402,Mi,8:10,11:25
A-M-MRP/01,WNC/[Zey],0601,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25

48
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-NR,MAA,0861,Mi,12:10,15:40
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25

51
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP4,SVG/[Kup],0885,Mo,8:10,11:25
EuI-M-WP3,KZR,0865,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
EuI-M-WPP1/01,WDL/[Neu],1401,Mo,8:10,11:25
A-M-NRP/01,MAA/[Zey],0601,Mi,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25

55
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WPP2/01,WNC/[Zey],0401,Mo,8:10,11:25
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
EuI-M-WPP2/02,WNC,0401,Mo,12:10,15:40
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
A-M-NRP/02,MAA/[Zey],0601,Mi,8:10,11:25
A-M-ECP/02,MNR/[Huß],0402,Di,8:10,11:25
A-M-MR,WNC,0861,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25

56
Name,Dozent,Raum,Tag,Anfang,Ende
EuI-M-WP1,WDL,1401,Mo,8:10,11:25
A-M-MRP/02,WNC/[Zey],0601,Mi,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0865,Mo,8:10,11:25
EuI-M-WP3/WPP3,KZR/[Kup],0885,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/[Zey],0462,Do,12:10,15:40
A-M-ECP/01,MNR/[Huß],0402,Mi,8:10,11:25
A-M-MRP/01,WNC/[Zey],0601,Di,12:10,15:40
EuI-M-WP4,SVG,1281,Mo,8:10,11:25
EuI-M-WP2,WNC,1065,Mo,8:10,11:25
A-M-VPJ1,MAA/MNR/RTH/[Huß],0462,Do,8:10,11:25
A-M-EC,MNR,0861,Di,8:10,11:25
Stundenplan  WiSe 2014 Vers. 1.1.2 vom 08.10.2014
Semestergruppe  B-EE1


38
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-MA1/MAÜ1,LND,1260,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Fr,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Fr,12:10,15:40

39
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Mo,8:10,11:25
B-EE1-PH1,HSS,0405,Fr,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1001,Mo,12:10,15:40
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-PR1,DRK,1065,Do,8:10,11:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

40, 44
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-PRP1/01,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

41
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-PRP1/02,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

42
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-ETP1/01,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-PRP1/01,DRK/[Boe],1365,Mo,8:10,11:25

43
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-PRP1/02,DRK,1365,Mo,8:10,11:25
B-EE1-ETP1/02,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

45
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-PRP1/02,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-ETP1/01,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

46
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-PRP1/01,DRK,1365,Mo,8:10,11:25
B-EE1-ETP1/02,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/01,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

47
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-PRP1/02,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/02,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

48
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-ETP1/01,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/01,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PRP1/01,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

49
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-PRP1/02,DRK,1365,Mo,8:10,11:25
B-EE1-ETP1/02,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/02,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

50
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/01,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PRP1/01,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

51
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-PR1 Tutorium,,1360,Do,15:55,17:25
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-PRP1/02,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-ETP1/01,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/02,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

55
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-PRP1/01,DRK,1365,Mo,8:10,11:25
B-EE1-ETP1/02,KPL/[Rac],0502,Do,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/01,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25

56
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE1-PH1,HSS,MP-F329,Mo,12:10,15:40
B-EE1-EE,RTH,1065,Di,8:10,11:25
B-EE1-MA1/MAÜ1,LND,1260,Mi,8:10,11:25
B-EE1-PRP1/02,DRK/[Boe],1365,Mo,8:10,11:25
B-EE1-ET1,KPL,0405,Do,12:10,15:40
B-EE1-MA1/MAÜ1,LND,1260,Di,12:10,15:40
B-EE1-EEP/02,RTH/[Kor],0301,Fr,8:10,11:25
B-EE1-PR1,DRK,1065,Mi,12:10,15:25
B-EE1-MA1 Tutorium,,0665,Mi,15:55,17:25
Stundenplan  WiSe 2014 Vers. 1.1.2 vom 08.10.2014
Semestergruppe  B-EE3


38
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-VS,RNZ,0265,Mo,12:10,15:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-IPJ1,KPL,0861,Di,12:10,15:40
B-EE3-MS,JNM,1365,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mi,8:10,11:25

39
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-VSP/02,RNZ/[Ißl],0585,Mi,9:55,11:25
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MSP/01 u. 02,JNM,1365,Di,12:10,15:40
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40
B-EE3-MS,JNM,1365,Di,8:10,11:25
B-EE3-VSP/01,RNZ/[Ißl],0585,Mi,8:10,9:40

40, 45
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
B-EE3-MS,JNM,0265,Di,8:10,11:25
B-EE3-SS,MCL,0265,Mo,8:10,11:25
B-EE3-VS,RNZ,0560,Mo,12:10,15:40
B-EE3-IPJ1,KPL,1465,Di,12:10,19:10
B-EE3-BW,ELSN,1283,Do,9:55,11:25
B-EE3-BWÜ/01,WLKI,1283,Do,8:10,9:40

41
Name,Dozent,Raum,Tag,Anfang,Ende
B-EE3-BWÜ/02,WLKI,1283,Do,12:10,13:40
B-EE3-EL2,DHL,0460,Mi,12:10,15:40
