Stundenplan  SoSe 2013 Vers 1.0.6 vom  14.03.2013
Semestergruppe  A-M


11
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-EPP/01,WNC/[Zey],0401,Di,8:10,11:25
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-DE,VPL,Stiftstr 69 R304a,Mi,8:10,11:25
A-M1-ASP/02,RTH/[Kor],0301,Fr,12:10,15:40
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40
A-M2-VPJ,VPL,0462,Do,8:10,11:25

23
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-EP,WNC,0662,Mi,12:10,15:40
A-M1-DE,VPL,0865,Di,12:10,15:40
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-DE,VPL,0861,Fr,8:10,11:25
A-M1-DE,VPL,Stiftstr 69 R304a,Mi,8:10,11:25
A-M1-EPP/02,WNC/[Zey],0401,Di,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40
A-M2-VPJ,VPL,0462,Do,8:10,11:25

24
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-DEP,VPL,1365,Di,12:10,15:40
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-DE,VPL,0861,Fr,8:10,11:25
A-M1-DE,VPL,Stiftstr 69 R304a,Mi,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40
A-M2-VPJ,VPL,0462,Do,8:10,11:25

25
Name,Dozent,Raum,Tag,Anfang,Ende
A-M1-DEP,VPL,1365,Di,12:10,15:40
A-M1-EPP/01,WNC/[Zey],0401,Di,8:10,11:25
A-M2-PSP,WLNS,1065,Mo,12:10,15:40
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-DE,VPL,0861,Fr,8:10,11:25
A-M1-DE,VPL,Stiftstr 69 R304a,Mi,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40
A-M2-VPJ,VPL,0462,Do,8:10,11:25

26
Name,Dozent,Raum,Tag,Anfang,Ende
A-M2-WP2/WPP2,WNC,0662,Mo,8:10,11:25
A-M1-EPP/02,WNC/[Zey],0401,Di,8:10,11:25
A-M2-VPJ,HLZ/MNR/[Zey],0462,Do,12:10,15:40
A-M2-VPJ,VPL,0462,Do,8:10,11:25
Stundenplan  SoSe 2013 Vers 1.0.6 vom  14.03.2013
Semestergruppe  B-MT1


10
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-OE I,,1065,Do,9:00,17:00
BMT1-OE I,,1065,Fr,9:00,17:00

11
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
BMT1-TMA U,Kle,MP-A5.14,Do,8:15,9:45
BMT1-OE I,,1065,Di,9:00,17:00
BMT1-OE I,,1065,Mi,9:00,17:00
BMT1-OE I,,NB 01.10,Mo,9:00,17:00

12
Name,Dozent,Raum,Tag,Anfang,Ende
BMT1-TSE/02,,1001,Fr,12:15,16:00
BMT1-PR1,LMN,1260,Di,12:30,15:45
BMT1-MA1/MA‹1,JNM,1265,Mi,12:10,15:40
BMT1-TMA,Kle,MP-A5.14,Do,10:00,11:30
BMT1-TMA U,Kle,MP-A5.14,Do,8:15,9:45
BMT1-TMA U,Kle,MP-A5.14,Do,12:15,15:45
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F203,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F223,Mi,8:15,11:30
BMT1-KOP 1, Siehe Laborplan MuP,BYR/[Klra]/[Thel],MP-F227,Mi,8:15,11:30
BMT1-GE1,RTT,0665,Mo,8:10,11:25
